Var1,Var2,Var3,Var4
-0.0112903225806452,-0.017741935483871,-0.0112903225806452,-0.0145161290322581
0.00161290322580645,-0.00483870967741935,-0.00161290322580645,-0.00161290322580645
-0.00161290322580645,-0.00161290322580645,-0.0112903225806452,-0.00483870967741935
0.0112903225806452,-0.00483870967741935,-0.00483870967741935,-0.0112903225806452
-0.0112903225806452,-0.00483870967741935,-0.0112903225806452,-0.00483870967741935
-0.00483870967741935,0.00161290322580645,-0.00483870967741935,-0.00483870967741935
0.00161290322580645,-0.00806451612903225,-0.00806451612903225,-0.00161290322580645
-0.00806451612903225,-0.0112903225806452,-0.0145161290322581,-0.00806451612903225
-0.00806451612903225,-0.0112903225806452,-0.0112903225806452,-0.0112903225806452
-0.00161290322580645,-0.0145161290322581,-0.00806451612903225,-0.0112903225806452
-0.0112903225806452,-0.0306451612903226,-0.00806451612903225,-0.0145161290322581
-0.0112903225806452,-0.017741935483871,-0.0112903225806452,-0.0145161290322581
-0.00483870967741935,-0.0145161290322581,-0.00806451612903225,-0.00483870967741935
-0.0112903225806452,-0.00483870967741935,-0.00483870967741935,-0.00161290322580645
-0.00483870967741935,-0.00483870967741935,-0.00806451612903225,-0.00483870967741935
-0.0209677419354839,-0.017741935483871,-0.0112903225806452,-0.0112903225806452
-0.00161290322580645,-0.00483870967741935,-0.00483870967741935,-0.0112903225806452
-0.0112903225806452,-0.0241935483870968,-0.00161290322580645,-0.00806451612903225
-0.00806451612903225,-0.0274193548387097,-0.0145161290322581,-0.0112903225806452
0.00161290322580645,-0.0112903225806452,-0.0112903225806452,-0.00806451612903225
-0.00806451612903225,-0.0145161290322581,-0.00806451612903225,-0.0145161290322581
-0.00483870967741935,-0.017741935483871,-0.00483870967741935,-0.00161290322580645
-0.00483870967741935,-0.0112903225806452,-0.00806451612903225,-0.0112903225806452
-0.00483870967741935,-0.017741935483871,-0.00161290322580645,-0.0112903225806452
-0.00806451612903225,-0.0145161290322581,-0.0112903225806452,-0.00806451612903225
